1,Charles University in Prague,Occidental College,,Economics; Politics,Economics,,year:2007,year:2007,year:2004,year:2008,,,
2,King Fahd University of Petroleum & Minerals,King Fahd University of Petroleum & Minerals,University of Leeds,Computer Science,Computer Science,Artificial Intelligence,year:1993,year:1997,year:1997,year:2000,year:2009,year:2012,
3,Duke University,Harvard Business School Executive Education,SRA International,Finance and Financial Management Services,strategy & leadership; Innovation and Change.,Research Integrity,year:2014,year:2014,year:2013,year:2015,year:2010,year:2010,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,University of Missouri-Columbia,,,Economics,,,,,,,,,
7,Centre of Financial Management,Edith Cowan University,Vellore Institute of Technology,Finance,Advanced Financial engineering,Finance,year:2008,year:2008,year:2007,year:2007,year:2002,year:2002,
8,Worcester Polytechnic Institute,Worcester Polytechnic Institute,,Applied Mathematics,Mathematics,,year:1996,year:1997,year:1992,year:1997,,,
9,University of Birmingham,Queen Elizabeth Sixth Form College,,Computer Science/Software Engineering with Business,,,year:1999,year:2003,year:1997,year:1999,,,
10,Carnegie Mellon University,Carnegie Mellon University,,Concentration in Business Intelligence & Data Analytics,Information Systems,,year:2013,year:2014,year:2010,year:2014,,,
11,University of Central Punjab,University of Central Punjab,,Computer Science,,,year:1999,year:2003,,,,,
12,,,,,,,,,,,,,
13,University of Washington,Ryerson University,Iqra University,Information Management,.NET Application Development,Computer Engineering,year:2009,year:2012,year:2006,year:2007,year:2000,year:2003,
14,INSEAD,Lahore University of Management Sciences,Universiti Sains Malaysia,,,,year:2016,year:2016,year:2008,year:2010,year:2009,year:2009,
15,American University in Bulgaria,University College London; U. of London,,Computer Science,Data Communication Networks and Distributed Systems,,year:2000,year:2003,year:2003,year:2005,,,
16,Kuwait English School,Penn State University,,Computer Engineering,,,year:2000,year:2005,,,,,
17,Delhi Public School - NOIDA,Manipal Institute of Technology,Carnegie Mellon University,Information Management,,,year:1995,year:2006,year:2006,year:2010,year:2012,year:2013,
18,New Mexico State University,,,Cognitive Psychology,,,year:1989,year:1994,,,,,
19,Massachusetts Institute of Technology,Universidad de Chile,,BioEngineering,Biotechnology Engineering,,year:2001,year:2006,year:1994,year:2000,,,
20,Liceo Scientifico Sperimentale Giotto Ulivi,Università degli Studi di Firenze,,Economia,Università degli Studi di Firenze,,year:1989,year:1989,year:1995,year:1995,year:1989,year:1989,
21,McGill University,The University of Chicago - Booth School of Business,University of Toronto,Chemical Engineering,Accounting and Finance,Biomedical Engineering,year:1996,year:2000,year:2005,year:2007,year:2000,year:2002,
22,Novosibirsk Physics-Math School,Novosibirsk State University (NSU),,Mathematics; Physics,Applied Mathematics; Computer Science,,year:1985,year:1987,year:1987,year:1993,,,
23,Universidade Federal do Rio de Janeiro,IBMEC,,Industrial Engineering,,,year:2000,year:2004,year:2010,year:2011,,,
24,Télécom Ecole de Management,Lycée La Hotoie,,Management IT,Management des Unités Commerciales,,year:2013,year:2017,year:2011,year:2013,,,
25,University of Colorado Denver,National University of Computer and Emerging Sciences,,Computer Science,,,year:2003,year:2006,year:1994,year:1996,,,
26,King Fahd University of Petroleum & Minerals,University of London,,Computer Engineering,Responsive Website Development and Design,,year:2005,year:2010,year:2016,year:2017,,,
27,Universidad Central de Venezuela,Business Edge,George Brown College,Economics,Rotman School of Business,Strategic Relationship Marketing,year:2000,year:2002,year:2013,year:2013,year:2007,year:2008,
28,,,,,,,,,,,,,
29,University of Texas School of Public Health,University of Texas School of Public Health,The University of Texas at Austin,Biostatistics,Epidemiology,Mathematics,year:2004,year:2006,year:2007,year:2011,year:2001,year:2004,
30,Rijksuniversiteit Groningen,Rijksuniversiteit Groningen / University of Groningen,Hanzehogeschool Groningen,Business Administration,MSc Marketing Management & MSc Marketing Intelligence,Marketing Management,year:2011,year:2012,year:2012,year:2014,year:2007,year:2011,
31,Stanford University,Université du Québec à Montréal,McGill University,International Management,French Immersion,Internet Business,year:2014,year:2014,year:2014,year:2014,year:2014,year:2014,
32,University of Mumbai,University of Washington; Michael G. Foster School of Business,,Information Technology (I.T.),,,year:1999,year:2003,,,,,
33,Università degli Studi di Milano,,,Physics,,,year:1989,year:1996,,,,,
34,Moscow Conservatory,State musical college of The Moscow Conservatory,Strategy Computers; Bellevue,Music,Music,CS,year:1987,year:1992,year:1981,year:1987,year:1998,year:1999,
35,,,,,,,,,,,,,
36,UC Davis,,,Computer Science,,,year:2001,year:2004,,,,,
37,University of Wisconsin-La Crosse,University of Wisconsin-Madison,University of Wisconsin-Madison,Data Science,Computer Science,Computer Science,year:2016,year:2019,year:1985,year:1989,year:1989,year:1991,
38,University of Delaware,University of Delaware,University of California; Berkeley,Mathematics and Computer Science,Psychology,Computer Science with Designated Emphasis in Computational Science,year:2003,year:2008,year:2003,year:2008,year:2008,year:2014,
39,Sham Yook University,,,Theology/Theological Studies,,,year:1985,year:1989,,,,,
40,Wilfrid Laurier University,University of Toronto - Rotman School of Management,University of Waterloo,Business Administration; Finance,Finance; General,Mathematics,year:2003,year:2008,year:2014,year:2016,year:2003,year:2008,
41,University of Illinois at Urbana-Champaign,The University of Texas at Austin,,Astronomy,Astronomy,,year:2007,year:2010,year:2011,year:2016,,,
42,Queen's University,University of Ottawa,Queen's University,Computer Science,International Development,Computer Science & Psychology,year:1993,year:1996,year:1992,year:1994,year:1986,year:1991,
43,Strathclyde University,Bellahouston Academy,,,,,year:2008,year:2011,,,,,
44,Nanyang Technological University,University of Lucknow,,Physics,,,,,,,,,
45,,,,,,,,,,,,,
46,The University of Queensland,The University of Queensland,,Botany/Plant Biology,Botany/Plant Biology,,year:2002,year:2007,year:1997,year:2000,,,
47,Universitat de Barcelona,Business Management School - Universitat Pompeu Fabra,INESDI; Digital Business School,Grado de Administración y Dirección de Empresas,MBA,Posgrado,year:2012,year:2012,year:2014,year:2014,year:2014,year:2014,
48,Government College of Technology; Coimbatore,College of Engineering; Guindy,,Electronics and Communication,Computer Science and Engineering,,year:1988,year:1992,year:1993,year:1995,,,
49,Manipal Institute of Technology,University of Calcutta,,Information Technology,,,,,,,,,
50,The University of Kansas,University of Kansas,University of California; Berkeley,B.S.B in Business Administration,B.A. in Economics,Master of Information and Data Science; School of Infomation,year:2017,year:2018,,,,,
51,MBA (Entrepreneurship),MIT,,Entrepreneurship/Entrepreneurial Studies,Computer Engineering,,year:2007,year:2009,year:1995,year:2000,,,
52,George Mason University,George Mason University,,,,,year:1992,,year:1998,,,,
53,Yale University,University of Utah,University of Utah,Health Policy and Administration,Mathematics,Biology,year:2008,year:2010,year:2002,year:2007,year:2002,year:2007,
54,S. R. M. Engineering College,,,Information Technology,,,year:1999,year:2003,,,,,
55,New York University,Northwestern University,,Computer Science,Economics,,year:2004,year:2005,year:1995,year:2000,,,
56,Ben Gurion University,,,Psychology & Economics,,,year:2010,year:2013,,,,,
57,Northeastern University,,,Information Systems,,,year:2001,year:2003,,,,,
58,BS (Electrical and Electronics Engg.),Wharton School; University of Pennsylvania,MS (Computer Engineering/Science),Electrical and Electronics Engineering,Computer Engineering / Science,,year:1984,year:1989,year:2006,year:2006,year:1991,year:1994,
59,Sathyabama University,,,Computer Science & Engineering,,,year:2001,year:2005,,,,,
60,Western Governors University,University of Utah,,Information Technology,Psychology,,year:2008,year:2011,year:1998,year:2001,,,
61,Stanford University,NED University of Engineering and Technology,,EECS,,,year:1998,year:2000,year:1990,year:1994,,,
62,University of Rajasthan,Data Science Dojo,Data Science Dojo,,,,year:1994,year:1997,,,,,
63,,,,,,,,,,,,,
64,Birla Institute of Technology and Science; Pilani,,,,,,year:1998,year:1999,,,,,
65,University of Madras,,,Computer Science,,,,,,,,,
66,DeVry,,,Accounting,,,,,,,,,
