s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
1,Andersen Tax,Frazier Healthcare Partners,Google,Shareholder InSite; Inc,Gardner Economics; LLC,Senior Business Valuation Associate,Senior Valuation Analyst,Mapping Data Analyst,Valuation Services Analyst - Quist Valuation Services,Consulting Analyst,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,month:4;year:2013,month:7;year:2016,month:7;year:2016,,month:6;year:2010,month:8;year:2011,month:9;year:2011,month:4;year:2013,month:6;year:2010,month:2;year:2011,
2,Islamic Development Bank,Islamic Development Bank,Islamic Development Bank (IDB),Islamic Development Bank,Islamic Development Bank,Team Lead; Business Planning and Consolidation Project,SAP Strategy Management Team Lead,Senior Statistician,Business Intelligence Team Leam,IT Budget Coordinator,Jeddah,,,,,month:9;year:2012,,month:10;year:2010,,month:10;year:2016,,month:8;year:2012,,month:1;year:2011,month:1;year:2013,
3,Qatar Foundation,Sidra Medical Research Centre,Sidra Medical and Research Center,Ministry of health Qatar,Sidra Medical Research Centre,Senior Research Analyst,Manager Patient Safety; SRM and Clinical Risk,Director of Licensure,Specialist Biostatistician,Head of Policy Analysis and Development,,,,,,month:9;year:2008,month:6;year:2011,month:11;year:2015,,month:9;year:2016,,month:9;year:2007,month:9;year:2008,month:5;year:2011,month:10;year:2015,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HoneyBook,Dr. Jeffrey Milyo,American Victory Coalition,Maurer Growth Strategies,Accenture,Data Scientist/Analytics Engineer,Research Assistant,Director of Research,Director of Operations,Consultant,San Francisco Bay Area,Columbia; Missouri,Portland; Oregon,,,month:11;year:2014,,month:8;year:2010,month:5;year:2012,month:4;year:2012,month:6;year:2015,month:1;year:2013,month:1;year:2014,month:9;year:2012,month:6;year:2015,
7,Singtel,Accenture Credit Services - Previously Zenta,Microsec Securities Ltd.,Pitney Bowes Software,IBM Global Process Services,Analytics & Big Data - Center of Excellence,Process- Lead,Manager - Research,Principal Consultant ( APAC) - Analytics and Strategy,Analytics Consultant,Singapore,Singapore,Singapore,Singapore,Singapore,month:12;year:2014,month:12;year:2014,month:6;year:2008,month:6;year:2008,month:7;year:2006,month:7;year:2006,month:9;year:2012,month:9;year:2012,month:3;year:2010,month:3;year:2010,
8,Microsoft,Microsoft Corporation; Redmond; WA,Microsoft,,,Test Lead,SDET,Senior Test Lead,,,,,,,,month:7;year:1997,month:9;year:2007,year:1997,month:12;year:2006,month:9;year:2007,,,,,,
9,MVB Analytics Ltd,Halifax,Halifax,Royal Bank of Scotland,Bank of Scotland,SAS/SQL Analyst & Developer,Senior Strategy Analyst,Senior Project Analyst,Analytics Manager,Product Development Analyst,Edinburgh; United Kingdom,Halifax; United Kingdom,Dublin; Ireland,Edinburgh; United Kingdom,Dublin; Ireland,month:9;year:2014,,month:7;year:2005,month:1;year:2006,month:1;year:2006,month:2;year:2007,month:9;year:2010,month:9;year:2014,month:2;year:2007,month:6;year:2009,
10,Microsoft,Carnegie Mellon University,Microsoft,MasterCard,Microsoft,Data Scientist,Graduate Teaching Assistant,Program Manager,Data Analyst Intern,Program Manager Intern,Greater Seattle Area,Greater Seattle Area,,,,month:7;year:2016,,month:1;year:2014,month:12;year:2014,month:1;year:2015,month:7;year:2016,month:6;year:2013,month:8;year:2013,month:5;year:2014,month:8;year:2014,
