s,,,,,,,,,,,,,,,,,,,
1,Logic Gates,Venture Capital,Microsoft Excel,Economics,Valuation,FAS 157,Data Analysis,Market Analysis,Financial Analysis,Financial Modeling,,,,,,,,,
2,Banking,Natural Language Processing,Data Science,SAP BI,Data Visualization,Business Intelligence,Statistical Data Analysis,Web Applications,Risk Management,,,,,,,,,,
3,Biostatistics,Healthcare,Project Planning,Policy Analysis,Analysis,Qualitative Research,Research,Statistics,Management,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,Economics,Policy Analysis,Quantitative Research,Public Speaking,Data Analysis,Public Policy,Qualitative Research,Research,Statistics,,,,,,,,,,
7,Statistical Modeling,Financial Modeling,Real Estate Investment - Private Equity,Analytics,SPSS,Financial Modeling - M&A,SAS,Segmentation,Predictive Analytics,Equity Research,Data Analysis,Business Analysis,,,,,,,
8,Test Management,Software Quality Assurance,Test Automation,Testing,Agile Methodologies,Machine Learning,R,Test Planning,Data Analysis,,,,,,,,,,
9,Banking,Data Mining,Stakeholder Management,Teradata,Analytics,SAS,Data Warehousing,SQL,Product Development,Business Analysis,,,,,,,,,
10,Data Mining,Python,Java,SSRS,R,Data Analysis,SQL,Analysis,Ruby on Rails,,,,,,,,,,
11,Distributed Systems,Software Design,C++,Web Services,Agile Methodologies,C#,Multithreading,Algorithms,Software Development,SQL,Win32,Software Engineering,,,,,,,
12,Knowledge-hungry Learner,Data Science,Yarn,Hadoop,Python,Linux,Machine Learning,MapReduce,R,,,,,,,,,,
13,SharePoint,Microsoft SQL Server,Business Intelligence,Software Development,Visual Studio,SQL,Databases,Business Analysis,Management,,,,,,,,,,
14,Business Planning,Team Management,Project Planning,Forecasting,Business Strategy,Supply Chain,Strategy,Competitive Analysis,Analysis,,,,,,,,,,
15,IT Operations Management,DevOps,Leadership,Kanban,IT Infrastructure Management,Strategy,Consulting,IT Management,Scrum,,,,,,,,,,
16,SAP BI,SAP R/3,SAP ERP,SAP Netweaver,SAP Implementation,ABAP,Business Intelligence,Project Management,SAP,ERP,SAP Portal,,,,,,,,
17,Cross-functional Problem Solving,Product Management,Data Visualization,Rapid Prototyping,Requirements Analysis,User Experience,Business Intelligence,SQL,Strategic Planning,,,,,,,,,,
18,Data Mining,Usability,Omniture,Analytics,Predictive Analytics,Web Analytics,Information Architecture,User Experience,Usability Testing,Statistics,,,,,,,,,
19,Proteomics,Systems Biology,Cell,Life Sciences,Cell Biology,Cell Culture,Mass Spectrometry,Western Blotting,Cellular Signaling,Protein Expression,,,,,,,,,
20,SPSS,Database,Data mining,Analisi dei dati,Ricerca,Statistiche,Ricerca clinica,SQL,Epidemiologia,,,,,,,,,,
21,Due Diligence,Mergers & Acquisitions,Venture Capital,Valuation,Investment Banking,Start-ups,Strategy,Financial Analysis,Financial Modeling,,,,,,,,,,
22,Data Science,Python,Data Warehousing,Windows Azure,R,Business Intelligence,Statistical Data Analysis,Enterprise Software,Scrum,,,,,,,,,,
23,Product Management,Digital Strategy,Agile Methodologies,Mobile Devices,Web Analytics,Digital Media,Business Intelligence,E-commerce,Scrum,,,,,,,,,,
24,Gestion de projet,Microsoft Excel,Microsoft Office,PowerPoint,Business Development,Microsoft Word,Project Management,Web design,Management,,,,,,,,,,
25,Agile Methodologies,Predictive Analytics,Technical Leadership,Windows Azure,Design Patterns,.NET,Software Development,Cloud Computing,Scrum,,,,,,,,,,
26,Spark,Data Science,Microsoft SQL Server,C#,Big Data,Machine Learning,Microsoft Azure,Web Applications,ASP.NET,,,,,,,,,,
